Sample_ID,PC1,PC2,PC3,ethnicity
LA001,21.988868283527594,2.631842993371561,-0.2174701597266477,Unknown
LA002,-8.313466378744993,5.566181523107366,12.278838315153319,Unknown
LA003,-10.193628236792652,17.162561420803343,2.5825287850004295,Unknown
LA004,-6.038099407625864,-1.4613973089654735,-10.180806424089596,Unknown
LA005,-7.849467074228762,-13.277848609624206,2.677545204473611,Unknown
LA006,-7.329356008489494,-14.353612047872463,2.4610681761976725,Unknown
LA007,-6.229597306553192,-13.267910636603089,2.135865497482219,Unknown
LA008,-5.995987502165219,-13.963584759752788,2.015838352412067,Unknown
LA009,-5.328459708040743,-13.60699670748924,2.388298547751708,Unknown
LA010,-6.639535370853254,-14.198873659078073,2.9706020636632835,Unknown
LA011,-6.9950202210804555,-13.347147928868358,2.245521370274519,Unknown
LA012,-7.420621875108961,-13.468483914883254,2.832762882474931,Unknown
LA013,-5.972820681437351,-14.655471003612128,2.594473680699679,Unknown
LA014,-5.949111633654391,-13.058689612601887,1.4209538439024194,Unknown
LA015,-5.770628311906837,-14.78766809503786,2.856874541310509,Unknown
LA016,-6.256811660483246,-14.536047483391428,3.1574929196930954,Unknown
LA017,-7.688646083799167,-13.510383530704372,3.273980382779453,Unknown
LA018,-6.12848211500745,-14.751498994122853,2.636810205967992,Unknown
LA019,-8.110896797902999,-13.427790554826016,2.4049643611133096,Unknown
LA020,-6.70568373694702,-14.001069060395471,3.614671919407545,Unknown
LA021,-7.351314874794622,-13.124021930468489,1.9581763053865835,Unknown
LA022,-6.481144476067132,-13.599212059821145,3.2232495016627785,Unknown
LA023,-6.1301119544938585,-13.821790053748874,0.2961821346616265,Unknown
LA024,-6.962452856608048,-13.253610079101183,2.356170870053339,Unknown
LA025,-7.449067736040117,-13.066969500275277,2.8748325915428796,Unknown
LA026,-7.695688918993574,-13.995399924750034,3.3697296688477896,Unknown
LA027,-6.136250905428244,-14.10340224501644,1.2945539524683451,Unknown
LA028,-5.594384822601292,-12.876360072750904,3.523122067592176,Unknown
LA029,-5.783162613005665,-14.45599025914755,1.9842055710580784,Unknown
LA030,-7.878372269281675,-14.186521549257938,1.940162660676405,Unknown
LA031,-7.327096369824408,-13.434027857536474,2.3054463259460425,Unknown
LA032,-8.157065068925938,-13.9032075861245,2.3798472272927853,Unknown
LA033,-6.479950670447756,-14.374302286664784,2.863200545364458,Unknown
LA034,-8.080859397247274,-14.829496456482293,3.046070127845861,Unknown
LA035,-8.39188081492569,-13.068412068258297,2.9606945527783393,Unknown
LA036,-7.399589458734789,-13.384401988058062,2.2415744868249083,Unknown
LA037,-6.854525701575537,-13.658109782913161,2.917654586935896,Unknown
LA038,-5.665175567754473,-13.766994136280639,1.675026365860059,Unknown
LA039,-7.135492737471412,-13.51068721630838,1.7082166347878804,Unknown
LA040,-7.482310074466874,-13.551470733657327,2.2380169724849384,Unknown
LA041,-8.116580087194265,-12.740084357416203,2.9110559099263362,Unknown
LA042,-6.761629577236209,-14.589767128282674,2.5071163080441705,Unknown
LA043,-7.7653979327232525,-13.609416865554216,3.2497433053681557,Unknown
LA044,-7.031828628737434,-13.712497034398853,2.376468320546577,Unknown
LA045,-6.062925402713336,-13.641213505028214,2.8906785625812264,Unknown
LA046,-7.750898208828383,-13.684993194641722,2.5556066115883547,Unknown
LA047,-7.3595130940344555,-13.22674188454475,2.3041401749101813,Unknown
LA048,-7.187224719408925,-13.935503799190585,2.0814982722619324,Unknown
LA049,-6.824118265934547,-13.728223369772468,2.9785549465249965,Unknown
LA050,-6.845025924113646,-14.442391932873962,1.5000355730982424,Unknown
HG00097,-6.924652117684874,-13.956779621165914,1.2131140328723053,Unknown
HG00099,-7.789544392226193,-13.975903632082632,3.7485163719584413,European
HG00100,-6.9422938806111825,-14.39522457148015,2.8809547481948647,European
HG00101,-7.196638888742441,-14.094317035249219,2.903604283157092,European
HG00103,-6.175067480023962,-15.014864960809353,2.4836469614812464,European
HG00105,-6.364781667617233,-14.07615284206788,3.575232494480714,European
HG00106,-6.356174785779515,-13.141189709435592,2.0298283084819695,European
HG00107,-6.935769638248712,-13.600611759790091,2.8578612653180318,European
HG00108,-6.008015151851761,-13.253234017540384,2.8950397731891786,European
HG00109,-7.3758991813425885,-14.36040510553353,2.761258583780673,European
HG00110,-7.182703336569434,-15.018381201285562,2.7319322142711866,European
HG00111,-7.824989271449788,-13.87539621248044,2.892167860332513,European
HG00112,-6.75508418734491,-13.939260544683862,2.8629489697955677,European
HG00113,-6.360444277088069,-14.148560570415649,2.9874895502938044,European
HG00115,-8.371491994581822,-13.363091595456313,3.006036123153979,European
HG00116,-7.937094870696915,-14.728333792848824,3.7049157768029786,European
HG00117,-7.235235632994554,-13.026264600559907,2.904740236492337,European
HG00118,-7.368265221369439,-14.331467103321547,2.6002699110893204,European
HG00119,-6.752969210620022,-14.430857104595153,2.4068037546827017,European
HG00120,-8.314055599821346,-14.986340846388424,2.5327201010991685,European
HG00121,-7.1243005924900915,-14.374511337114676,2.106550698262705,European
HG00122,-7.2024662173223,-13.732710124416368,2.6625598693079824,European
HG00123,-7.068219045664079,-14.074284281287955,2.2395865889768234,European
HG00126,-6.787363409034182,-13.801046344481426,3.6669940346400396,European
HG00127,-7.806690429312082,-13.44893838237847,3.4471719818202304,European
HG00128,-8.78894339655265,-14.760029967571633,1.3081854905079462,European
